id,title,description
115,42,The story of Jackie Robinson: the first Black player in Major League Baseball.
116,The Pursuit of Happyness,A struggling salesman fights against all odds to provide for his son.
117,Slumdog Millionaire,A poor teenager wins a fortune on a game show, revealing his life story.
118,Life of Pi,A young man survives a shipwreck and forms an unlikely bond with a tiger.
119,Cast Away,A FedEx employee is stranded on a deserted island and fights to survive.
120,127 Hours,A climber gets trapped under a boulder and must find a way to escape.
121,Everest,A group of climbers face deadly conditions on Mount Everest.
122,The Revenant,A frontiersman seeks revenge after being left for dead in the wilderness.
123,Apocalypse Now,A soldier is sent to assassinate a rogue colonel in the Vietnam War.
124,Saving Private Ryan,A group of soldiers search for a paratrooper behind enemy lines.
125,Dunkirk,Soldiers trapped in Dunkirk fight for survival during WWII.
126,1917,Two soldiers race against time to deliver a message during WWI.
127,Schindler's List,A businessman saves Jewish refugees during the Holocaust.
128,The Pianist,A Jewish pianist struggles to survive in Nazi-occupied Poland.
129,Hotel Rwanda,A hotel manager protects refugees during the Rwandan genocide.
130,Gladiator,A betrayed Roman general seeks revenge in the Colosseum.
131,Braveheart,A Scottish warrior leads a rebellion against English rule.
132,The Last Samurai,A U.S. soldier embraces samurai culture and fights against modernization.
133,Troy,The story of Achilles and the fall of Troy.
134,300,Spartan warriors fight to their last breath against the Persian army.
135,The Lord of the Rings: The Fellowship of the Ring,A young hobbit embarks on a quest to destroy a powerful ring.
136,The Lord of the Rings: The Two Towers,The journey continues as the forces of good battle dark armies.
137,The Lord of the Rings: The Return of the King,The final battle against evil determines the fate of Middle-earth.
138,The Hobbit: An Unexpected Journey,A hobbit sets out on an adventure to reclaim a lost kingdom.
139,The Chronicles of Narnia,A group of siblings discover a magical world and battle an evil witch.
140,Harry Potter and the Sorcerer's Stone,A young wizard discovers his magical heritage.
141,Harry Potter and the Deathly Hallows,A final battle between good and evil unfolds at Hogwarts.
142,Fantastic Beasts and Where to Find Them,A wizard captures magical creatures in 1920s New York.
143,Pan's Labyrinth,A girl discovers a mythical world during the Spanish Civil War.
144,Spirited Away,A young girl enters a magical realm and must save her parents.
145,My Neighbor Totoro,Two sisters befriend a gentle forest spirit.
146,Princess Mononoke,A young warrior becomes involved in a battle between humans and nature.
147,Akira,A dystopian future where a biker gang uncovers dangerous government secrets.
148,Blade Runner,A detective hunts down rogue androids in a cyberpunk future.
149,Ghost in the Shell,A cyborg detective investigates cyberterrorism.
150,The Fifth Element,A cab driver must protect a mysterious woman to save the world.
151,Ex Machina,A young programmer tests the consciousness of an advanced AI.
152,Her,A lonely man falls in love with an AI operating system.
153,The Terminator,A cyborg assassin travels back in time to alter the future.
154,Terminator 2: Judgment Day,A boy and a reprogrammed robot fight to prevent doomsday.
155,Minority Report,A futuristic cop must prevent crimes before they happen.
156,AI: Artificial Intelligence,A robot boy searches for a way to become human.
157,Arrival,A linguist deciphers an alien language to prevent war.
158,Contact,A scientist receives signals from an advanced alien civilization.
159,The Day the Earth Stood Still,An alien visits Earth with a dire warning.
160,War of the Worlds,A father protects his children from an alien invasion.
161,Independence Day,Humans unite to fight against an alien attack on Earth.
162,Edge of Tomorrow,A soldier relives the same battle repeatedly to defeat an alien force.
163,Pacific Rim,Humans pilot giant robots to fight monstrous sea creatures.
164,Godzilla,The legendary monster battles against humanity’s greatest threats.
165,Kong: Skull Island,Explorers uncover the secrets of a mysterious island ruled by a giant ape.
166,The Shape of Water,A mute woman falls in love with an amphibious creature.
167,Kingdom of Heaven,A knight defends Jerusalem during the Crusades.
168,Glory,An all-Black regiment fights in the American Civil War.
169,Lawrence of Arabia,A British officer unites Arab tribes against the Ottoman Empire.
170,The Good, the Bad and the Ugly,Three outlaws search for hidden treasure during the Civil War.
171,No Country for Old Men,A hunter stumbles upon a drug deal gone wrong.
172,The Hateful Eight,A group of strangers seek shelter in a cabin during a blizzard.
173,True Grit,A young girl hires a tough marshal to track down her father’s killer.
174,Unforgiven,An aging outlaw comes out of retirement for one last job.
175,The Revenant,A frontiersman seeks revenge after being left for dead.
176,The Magnificent Seven,A group of skilled gunmen defend a village against outlaws.
177,The Great Escape,Prisoners of war plan a daring escape from a German camp.
178,1917,Two soldiers race against time to deliver a crucial message.
179,Platoon,A young soldier experiences the horrors of the Vietnam War.
180,Black Hawk Down,American soldiers fight to survive in a deadly mission gone wrong.
181,Zero Dark Thirty,A determined CIA agent hunts for Osama bin Laden.
182,Hacksaw Ridge,A pacifist medic saves lives in WWII without carrying a weapon.
183,The Hunt for Red October,A Soviet submarine captain attempts to defect to the U.S.
184,Master and Commander,A British naval captain pursues a formidable enemy ship.
185,The Imitation Game,A mathematician cracks Nazi codes and helps end WWII.
186,A Beautiful Mind,A brilliant mathematician battles schizophrenia.
187,Good Will Hunting,A janitor at MIT is secretly a math prodigy.
188,The Theory of Everything,The life of physicist Stephen Hawking.
189,Spotlight,Journalists uncover a massive church scandal.
190,Argo,A CIA mission rescues hostages under the guise of a movie shoot.
191,12 Years a Slave,A free Black man is kidnapped and sold into slavery.
192,The Green Mile,Guards at a prison encounter a death row inmate with special powers.
193,Shawshank Redemption,A man wrongly convicted of murder fights for freedom.
194,The Curious Case of Benjamin Button,A man ages in reverse through time.
195,Eternal Sunshine of the Spotless Mind,A couple undergoes a procedure to erase their memories.
196,Donnie Darko,A troubled teen experiences bizarre visions of a giant rabbit.
197,Memento,A man with short-term memory loss seeks to find his wife's killer.
198,Requiem for a Dream,Four individuals spiral into addiction and despair.
199,Trainspotting,A group of Scottish friends navigate drug addiction.
200,American Beauty,A suburban father has a midlife crisis and rediscovers life.
